[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000867s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000837s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000915s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.009642s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009734s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001388s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000531s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000359s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000565s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003108s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000602s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000673s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000803s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000902s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000848s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000927s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.009157s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009248s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000541s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000531s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000381s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000592s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002253s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000601s ]
[ 2013-06-30T11:19:02+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000672s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000757s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000848s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000820s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000896s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.008964s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009055s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000511s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000514s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000356s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000568s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002243s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000579s ]
[ 2013-06-30T11:19:22+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000649s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000519s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000616s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000461s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000545s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.006554s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006648s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000404s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000390s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000258s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000470s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001721s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000426s ]
[ 2013-06-30T11:19:37+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000501s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000482s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000575s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000518s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000598s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.007290s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007381s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000395s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000390s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000244s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000452s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001672s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000484s ]
[ 2013-06-30T11:20:07+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000554s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000481s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000569s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000433s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000506s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.006664s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006754s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000381s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000395s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000243s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000449s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001659s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000393s ]
[ 2013-06-30T11:20:46+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000461s ]
